candidate_id,rank,score,reasoning
CAND_0011162,1,0.7796,"Good adjacent fit: Recommendation Systems Engineer with 5.8 yrs; evidence includes Embeddings, FAISS, Kubeflow, LangChain; Redrob response 0.75, active 49d ago, notice 90d; concern: 90d notice."
CAND_0064326,2,0.7704,"Good adjacent fit: Search Engineer with 7.6 yrs; evidence includes BM25, Deep Learning, Milvus, Python; Redrob response 0.94, active 38d ago, notice 45d."
CAND_0017960,3,0.7583,"Good adjacent fit: Recommendation Systems Engineer with 7.7 yrs; evidence includes BentoML, Haystack, Hugging Face Transformers, Information Retrieval; Redrob response 0.72, active 62d ago, notice 60d."
CAND_0077285,4,0.7543,"Good adjacent fit: Recommendation Systems Engineer with 5.5 yrs; evidence includes BentoML, Embeddings, FAISS, Fine-tuning LLMs; Redrob response 0.56, active 56d ago, notice 60d."
CAND_0041669,5,0.7537,"Good adjacent fit: Recommendation Systems Engineer with 8.0 yrs; evidence includes FAISS, Haystack, Information Retrieval, Machine Learning; Redrob response 0.77, active 83d ago, notice 60d."
CAND_0039838,6,0.7516,"Good adjacent fit: Recommendation Systems Engineer with 4.9 yrs; evidence includes Embeddings, Fine-tuning LLMs, Hugging Face Transformers, Kubeflow; Redrob response 0.80, active 68d ago, notice 90d; concern: 90d notice."
CAND_0002025,7,0.7426,"Good adjacent fit: Senior AI Engineer with 5.9 yrs; evidence includes Deep Learning, FAISS, Fine-tuning LLMs, Haystack; Redrob response 0.80, active 33d ago, notice 30d."
CAND_0061265,8,0.7283,"Good adjacent fit: Recommendation Systems Engineer with 6.6 yrs; evidence includes Embeddings, Hugging Face Transformers, LangChain, Learning to Rank; Redrob response 0.94, active 95d ago, notice 120d; concern: 120d notice."
CAND_0065195,9,0.7266,"Good adjacent fit: Search Engineer with 5.1 yrs; evidence includes BentoML, Elasticsearch, Hugging Face Transformers, Learning to Rank; Redrob response 0.80, active 35d ago, notice 45d."
CAND_0071974,10,0.7263,"Good adjacent fit: Senior AI Engineer with 7.8 yrs; evidence includes BM25, Elasticsearch, Embeddings, Information Retrieval; Redrob response 0.76, active 73d ago, notice 45d."
CAND_0036184,11,0.7226,"Good adjacent fit: Recommendation Systems Engineer with 6.0 yrs; evidence includes Embeddings, FAISS, Hugging Face Transformers, LangChain; Redrob response 0.90, active 33d ago, notice 30d."
CAND_0018499,12,0.7214,"Good adjacent fit: Senior Machine Learning Engineer with 7.2 yrs; evidence includes BM25, Deep Learning, Embeddings, Information Retrieval; Redrob response 0.61, active 46d ago, notice 15d."
CAND_0053695,13,0.7213,"Good adjacent fit: Recommendation Systems Engineer with 5.8 yrs; evidence includes Embeddings, GCP, LangChain, MLOps; Redrob response 0.60, active 87d ago, notice 15d."
CAND_0081846,14,0.7213,"Good adjacent fit: Lead AI Engineer with 6.7 yrs; evidence includes BM25, Deep Learning, Elasticsearch, Embeddings; Redrob response 0.73, active 56d ago, notice 30d."
CAND_0041568,15,0.7176,"Good adjacent fit: Search Engineer with 5.2 yrs; evidence includes BM25, Deep Learning, Feature Engineering, Hugging Face Transformers; Redrob response 0.52, active 83d ago, notice 90d; concern: 90d notice."
CAND_0061339,16,0.7151,"Good adjacent fit: Search Engineer with 4.2 yrs; evidence includes BentoML, Information Retrieval, LLMs, Milvus; Redrob response 0.90, active 83d ago, notice 90d; concern: 90d notice."
CAND_0057701,17,0.7124,"Good adjacent fit: Recommendation Systems Engineer with 4.1 yrs; evidence includes Deep Learning, Feature Engineering, Hugging Face Transformers, Learning to Rank; Redrob response 0.56, active 49d ago, notice 120d; concern: 120d notice."
CAND_0018549,18,0.7104,"Good adjacent fit: Recommendation Systems Engineer with 6.8 yrs; evidence includes Elasticsearch, Fine-tuning LLMs, Kubernetes, LangChain; Redrob response 0.73, active 61d ago, notice 60d."
CAND_0074225,19,0.7079,"Good adjacent fit: Machine Learning Engineer with 4.3 yrs; evidence includes Elasticsearch, Haystack, Hugging Face Transformers, Machine Learning; Redrob response 0.91, active 39d ago, notice 120d; concern: 120d notice."
CAND_0008425,20,0.7036,"Good adjacent fit: Senior NLP Engineer with 7.8 yrs; evidence includes Haystack, Hugging Face Transformers, Information Retrieval, Learning to Rank; Redrob response 0.66, active 64d ago, notice 90d; concern: 90d notice."
CAND_0086151,21,0.6981,"Good adjacent fit: Recommendation Systems Engineer with 7.7 yrs; evidence includes BentoML, BM25, Elasticsearch, Embeddings; Redrob response 0.52, active 97d ago, notice 120d; concern: 120d notice."
CAND_0076251,22,0.6979,"Good adjacent fit: Search Engineer with 7.6 yrs; evidence includes Elasticsearch, Feature Engineering, Fine-tuning LLMs, Hugging Face Transformers; Redrob response 0.51, active 74d ago, notice 60d."
CAND_0078492,23,0.6976,"Good adjacent fit: Recommendation Systems Engineer with 5.1 yrs; evidence includes BM25, Elasticsearch, FAISS, Haystack; Redrob response 0.70, active 88d ago, notice 30d."
CAND_0079387,24,0.6976,"Good adjacent fit: AI Engineer with 6.9 yrs; evidence includes BentoML, BM25, Haystack, Kubeflow; Redrob response 0.81, active 64d ago, notice 30d."
CAND_0052328,25,0.6947,"Good adjacent fit: Recommendation Systems Engineer with 6.5 yrs; evidence includes Fine-tuning LLMs, Learning to Rank, LoRA, OpenSearch; Redrob response 0.79, active 89d ago, notice 30d."
CAND_0011687,26,0.6943,"Good adjacent fit: Senior NLP Engineer with 7.8 yrs; evidence includes Embeddings, FAISS, Feature Engineering, LangChain; Redrob response 0.89, active 49d ago, notice 15d."
CAND_0045250,27,0.6927,"Good adjacent fit: Applied ML Engineer with 6.6 yrs; evidence includes BM25, Embeddings, LangChain, LLMs; Redrob response 0.74, active 60d ago, notice 15d."
CAND_0076831,28,0.6927,"Good adjacent fit: Search Engineer with 4.0 yrs; evidence includes BM25, Fine-tuning LLMs, LLMs, Milvus; Redrob response 0.50, active 45d ago, notice 90d; concern: 90d notice."
CAND_0091909,29,0.6925,"Good adjacent fit: Machine Learning Engineer with 6.9 yrs; evidence includes BentoML, Hugging Face Transformers, LangChain, Learning to Rank; Redrob response 0.65, active 102d ago, notice 45d."
CAND_0066999,30,0.6916,"Good adjacent fit: Recommendation Systems Engineer with 5.9 yrs; evidence includes BM25, Embeddings, FAISS, Information Retrieval; Redrob response 0.63, active 84d ago, notice 15d."
CAND_0088025,31,0.6894,"Good adjacent fit: Staff Machine Learning Engineer with 8.6 yrs; evidence includes BM25, Deep Learning, Elasticsearch, Hugging Face Transformers; Redrob response 0.83, active 45d ago, notice 90d; concern: 90d notice."
CAND_0087364,32,0.6856,"Good adjacent fit: Recommendation Systems Engineer with 4.9 yrs; evidence includes Deep Learning, Docker, Elasticsearch, Milvus; Redrob response 0.48, active 59d ago, notice 30d."
CAND_0044222,33,0.6854,"Good adjacent fit: AI Engineer with 7.7 yrs; evidence includes BM25, Deep Learning, Feature Engineering, Fine-tuning LLMs; Redrob response 0.60, active 44d ago, notice 60d."
CAND_0000031,34,0.6850,"Good adjacent fit: Recommendation Systems Engineer with 6.0 yrs; evidence includes BentoML, Embeddings, FAISS, Feature Engineering; Redrob response 0.91, active 35d ago, notice 60d."
CAND_0026532,35,0.6847,"Good adjacent fit: Recommendation Systems Engineer with 4.8 yrs; evidence includes BentoML, Embeddings, FAISS, Feature Engineering; Redrob response 0.52, active 92d ago, notice 90d; concern: 90d notice."
CAND_0006418,36,0.6846,"Good adjacent fit: Machine Learning Engineer with 5.7 yrs; evidence includes Elasticsearch, Embeddings, Kubernetes, Learning to Rank; Redrob response 0.92, active 89d ago, notice 60d."
CAND_0030031,37,0.6841,"Good adjacent fit: AI Engineer with 5.7 yrs; evidence includes BM25, Information Retrieval, LoRA, Milvus; Redrob response 0.94, active 37d ago, notice 30d."
CAND_0046064,38,0.6837,"Good adjacent fit: Senior NLP Engineer with 8.9 yrs; evidence includes BM25, Deep Learning, Elasticsearch, Haystack; Redrob response 0.78, active 63d ago, notice 30d."
CAND_0031593,39,0.6835,"Good adjacent fit: Search Engineer with 7.8 yrs; evidence includes BentoML, BM25, Elasticsearch, Embeddings; Redrob response 0.58, active 101d ago, notice 90d; concern: 90d notice."
CAND_0041610,40,0.6833,"Good adjacent fit: Recommendation Systems Engineer with 6.7 yrs; evidence includes BM25, Elasticsearch, Embeddings, Feature Engineering; Redrob response 0.52, active 45d ago, notice 30d."
CAND_0018722,41,0.6831,"Good adjacent fit: Recommendation Systems Engineer with 6.6 yrs; evidence includes Hugging Face Transformers, LLMs, PEFT, Python; Redrob response 0.79, active 65d ago, notice 90d; concern: 90d notice."
CAND_0024466,42,0.6804,"Good adjacent fit: Search Engineer with 5.2 yrs; evidence includes BM25, Fine-tuning LLMs, LLMs, LoRA; Redrob response 0.47, active 37d ago, notice 120d; concern: 120d notice."
CAND_0054394,43,0.6796,"Good adjacent fit: Recommendation Systems Engineer with 4.1 yrs; evidence includes Embeddings, Fine-tuning LLMs, Haystack, Hugging Face Transformers; Redrob response 0.64, active 55d ago, notice 30d."
CAND_0075574,44,0.6792,"Good adjacent fit: Machine Learning Engineer with 5.7 yrs; evidence includes BM25, Elasticsearch, Hugging Face Transformers, OpenSearch; Redrob response 0.58, active 42d ago, notice 60d."
CAND_0070485,45,0.6784,"Good adjacent fit: Search Engineer with 6.4 yrs; evidence includes Deep Learning, FAISS, GCP, Haystack; Redrob response 0.45, active 87d ago, notice 120d; concern: 120d notice."
CAND_0004402,46,0.6775,"Good adjacent fit: AI Research Engineer with 6.0 yrs; evidence includes BentoML, Fine-tuning LLMs, Kubeflow, Learning to Rank; Redrob response 0.83, active 34d ago, notice 60d."
CAND_0081686,47,0.6766,"Good adjacent fit: Search Engineer with 6.0 yrs; evidence includes Embeddings, FAISS, Feature Engineering, Hugging Face Transformers; Redrob response 0.91, active 64d ago, notice 60d."
CAND_0070398,48,0.6746,"Good adjacent fit: Machine Learning Engineer with 7.2 yrs; evidence includes BM25, Embeddings, FAISS, Fine-tuning LLMs; Redrob response 0.60, active 75d ago, notice 120d; concern: 120d notice."
CAND_0036437,49,0.6741,"Good adjacent fit: Search Engineer with 4.8 yrs; evidence includes Elasticsearch, FAISS, Feature Engineering, Kubeflow; Redrob response 0.87, active 45d ago, notice 30d."
CAND_0050454,50,0.6739,"Good adjacent fit: AI Engineer with 6.8 yrs; evidence includes BM25, FAISS, Feature Engineering, Fine-tuning LLMs; Redrob response 0.77, active 62d ago, notice 30d."
CAND_0039754,51,0.6732,"Good adjacent fit: Senior Applied Scientist with 16.2 yrs; evidence includes BM25, Deep Learning, Elasticsearch, Fine-tuning LLMs; Redrob response 0.81, active 45d ago, notice 30d."
CAND_0014440,52,0.6714,"Good adjacent fit: Recommendation Systems Engineer with 6.4 yrs; evidence includes Elasticsearch, FAISS, Feature Engineering, Fine-tuning LLMs; Redrob response 0.64, active 49d ago, notice 60d."
CAND_0042029,53,0.6712,"Good adjacent fit: Senior Data Scientist with 6.5 yrs; evidence includes Deep Learning, Elasticsearch, Embeddings, Feature Engineering; Redrob response 0.67, active 76d ago, notice 45d."
CAND_0027691,54,0.6701,"Good adjacent fit: NLP Engineer with 6.5 yrs; evidence includes Embeddings, Learning to Rank, LoRA, MLflow; Redrob response 0.68, active 89d ago, notice 15d."
CAND_0039383,55,0.6701,"Good adjacent fit: Applied ML Engineer with 7.1 yrs; evidence includes Elasticsearch, FAISS, Feature Engineering, Hugging Face Transformers; Redrob response 0.61, active 101d ago, notice 90d; concern: 90d notice."
CAND_0037944,56,0.6696,"Good adjacent fit: Senior Data Scientist with 4.9 yrs; evidence includes BM25, Embeddings, Feature Engineering, LLMs; Redrob response 0.42, active 98d ago, notice 30d."
CAND_0049896,57,0.6690,"Good adjacent fit: Search Engineer with 7.3 yrs; evidence includes Fine-tuning LLMs, Hugging Face Transformers, Information Retrieval, Kubeflow; Redrob response 0.43, active 42d ago, notice 90d; concern: 90d notice."
CAND_0099806,58,0.6671,"Good adjacent fit: AI Engineer with 4.6 yrs; evidence includes BM25, Elasticsearch, Embeddings, FAISS; Redrob response 0.76, active 54d ago, notice 30d."
CAND_0040117,59,0.6660,"Good adjacent fit: Recommendation Systems Engineer with 6.5 yrs; evidence includes BM25, Embeddings, FAISS, LangChain; Redrob response 0.66, active 103d ago, notice 15d."
CAND_0069905,60,0.6658,"Good adjacent fit: Applied ML Engineer with 6.6 yrs; evidence includes Hugging Face Transformers, LangChain, Learning to Rank, LoRA; Redrob response 0.78, active 68d ago, notice 90d; concern: 90d notice."
CAND_0010685,61,0.6657,"Good adjacent fit: NLP Engineer with 6.7 yrs; evidence includes Deep Learning, Elasticsearch, Haystack, Information Retrieval; Redrob response 0.83, active 104d ago, notice 30d."
CAND_0012957,62,0.6653,"Good adjacent fit: Search Engineer with 4.9 yrs; evidence includes BentoML, BM25, Deep Learning, Embeddings; Redrob response 0.67, active 57d ago, notice 120d; concern: 120d notice."
CAND_0055905,63,0.6653,"Good adjacent fit: Senior Machine Learning Engineer with 8.1 yrs; evidence includes Elasticsearch, Embeddings, Fine-tuning LLMs, Haystack; Redrob response 0.87, active 42d ago, notice 30d."
CAND_0096142,64,0.6634,"Good adjacent fit: Applied ML Engineer with 5.0 yrs; evidence includes BentoML, BM25, Hugging Face Transformers, Kubeflow; Redrob response 0.84, active 38d ago, notice 120d; concern: 120d notice."
CAND_0022812,65,0.6625,"Good adjacent fit: Applied ML Engineer with 4.5 yrs; evidence includes Feature Engineering, LangChain, LLMs, LoRA; Redrob response 0.79, active 101d ago, notice 60d."
CAND_0083307,66,0.6625,"Good adjacent fit: Search Engineer with 7.8 yrs; evidence includes Deep Learning, Embeddings, GCP, Learning to Rank; Redrob response 0.70, active 99d ago, notice 120d; concern: 120d notice."
CAND_0098846,67,0.6615,"Good adjacent fit: AI Engineer with 7.6 yrs; evidence includes Azure, BentoML, Haystack, Hugging Face Transformers; Redrob response 0.62, active 66d ago, notice 45d."
CAND_0006557,68,0.6610,"Good adjacent fit: NLP Engineer with 7.9 yrs; evidence includes Elasticsearch, FAISS, Hugging Face Transformers, Information Retrieval; Redrob response 0.63, active 79d ago, notice 120d; concern: 120d notice."
CAND_0095619,69,0.6596,"Good adjacent fit: NLP Engineer with 15.6 yrs; evidence includes BM25, Elasticsearch, Feature Engineering, Fine-tuning LLMs; Redrob response 0.90, active 73d ago, notice 30d."
CAND_0051615,70,0.6594,"Good adjacent fit: Search Engineer with 4.6 yrs; evidence includes Fine-tuning LLMs, Haystack, LLMs, Milvus; Redrob response 0.88, active 107d ago, notice 60d."
CAND_0061655,71,0.6585,"Good adjacent fit: Machine Learning Engineer with 4.6 yrs; evidence includes BM25, Deep Learning, Elasticsearch, Haystack; Redrob response 0.88, active 38d ago, notice 15d."
CAND_0098780,72,0.6585,"Good adjacent fit: AI Research Engineer with 5.9 yrs; evidence includes BentoML, Deep Learning, Feature Engineering, Kubeflow; Redrob response 0.57, active 71d ago, notice 60d."
CAND_0064270,73,0.6580,"Good adjacent fit: Applied ML Engineer with 4.2 yrs; evidence includes BentoML, BM25, Elasticsearch, Embeddings; Redrob response 0.82, active 100d ago, notice 45d."
CAND_0052706,74,0.6552,"Good adjacent fit: AI Research Engineer with 5.1 yrs; evidence includes Deep Learning, Feature Engineering, Information Retrieval, LoRA; Redrob response 0.79, active 54d ago, notice 60d."
CAND_0053591,75,0.6544,"Good adjacent fit: AI Engineer with 5.3 yrs; evidence includes BM25, Embeddings, LangChain, Milvus; Redrob response 0.81, active 42d ago, notice 60d."
CAND_0077337,76,0.6542,"Good adjacent fit: Staff Machine Learning Engineer with 7.0 yrs; evidence includes BM25, Feature Engineering, Information Retrieval, LLMs; Redrob response 0.95, active 33d ago, notice 60d."
CAND_0005260,77,0.6538,"Good adjacent fit: Senior NLP Engineer with 5.2 yrs; evidence includes Deep Learning, Embeddings, Haystack, Hugging Face Transformers; Redrob response 0.86, active 49d ago, notice 60d."
CAND_0013536,78,0.6534,"Good adjacent fit: Applied ML Engineer with 14.1 yrs; evidence includes Elasticsearch, Embeddings, FAISS, LLMs; Redrob response 0.87, active 61d ago, notice 90d; concern: 90d notice."
CAND_0068811,79,0.6532,"Good adjacent fit: Applied ML Engineer with 8.0 yrs; evidence includes Embeddings, Haystack, Kubeflow, OpenSearch; Redrob response 0.42, active 38d ago, notice 30d."
CAND_0049538,80,0.6518,"Good adjacent fit: Applied ML Engineer with 5.8 yrs; evidence includes Deep Learning, Elasticsearch, Embeddings, Feature Engineering; Redrob response 0.72, active 32d ago, notice 30d."
CAND_0009024,81,0.6512,"Good adjacent fit: Search Engineer with 5.2 yrs; evidence includes FAISS, LoRA, Machine Learning, MLflow; Redrob response 0.46, active 80d ago, notice 30d."
CAND_0020877,82,0.6504,"Good adjacent fit: Applied ML Engineer with 5.1 yrs; evidence includes Deep Learning, Elasticsearch, Information Retrieval, Kubeflow; Redrob response 0.66, active 86d ago, notice 60d."
CAND_0010257,83,0.6494,"Good adjacent fit: Senior Data Scientist with 6.5 yrs; evidence includes Feature Engineering, Machine Learning, Milvus, MLflow; Redrob response 0.72, active 46d ago, notice 120d; concern: 120d notice."
CAND_0006567,84,0.6493,"Good adjacent fit: Senior AI Engineer with 7.9 yrs; evidence includes BM25, Feature Engineering, Haystack, Kubernetes; Redrob response 0.79, active 56d ago, notice 60d."
CAND_0008295,85,0.6477,"Good adjacent fit: AI Research Engineer with 6.5 yrs; evidence includes BentoML, BM25, Kubernetes, MLflow; Redrob response 0.89, active 33d ago, notice 45d."
CAND_0093912,86,0.6475,"Good adjacent fit: Senior Data Scientist with 5.3 yrs; evidence includes Elasticsearch, Embeddings, FastAPI, Feature Engineering; Redrob response 0.66, active 48d ago, notice 30d."
CAND_0011432,87,0.6467,"Good adjacent fit: Senior Data Scientist with 7.6 yrs; evidence includes AWS, BentoML, Elasticsearch, Haystack; Redrob response 0.67, active 104d ago, notice 60d."
CAND_0044855,88,0.6447,"Good adjacent fit: Senior Data Scientist with 6.6 yrs; evidence includes BentoML, Embeddings, Hugging Face Transformers, Information Retrieval; Redrob response 0.57, active 65d ago, notice 60d."
CAND_0033179,89,0.6446,"Good adjacent fit: AI Research Engineer with 6.9 yrs; evidence includes Docker, FastAPI, Fine-tuning LLMs, Hugging Face Transformers; Redrob response 0.84, active 37d ago, notice 30d."
CAND_0090300,90,0.6433,"Good adjacent fit: AI Research Engineer with 5.3 yrs; evidence includes BentoML, Feature Engineering, Fine-tuning LLMs, Hugging Face Transformers; Redrob response 0.94, active 35d ago, notice 120d; concern: 120d notice."
CAND_0083879,91,0.6424,"Good adjacent fit: Machine Learning Engineer with 7.1 yrs; evidence includes Fine-tuning LLMs, Hugging Face Transformers, Machine Learning, Milvus; Redrob response 0.47, active 72d ago, notice 30d."
CAND_0050876,92,0.6422,"Good adjacent fit: Applied ML Engineer with 6.0 yrs; evidence includes FAISS, Kubeflow, Machine Learning, MLOps; Redrob response 0.67, active 33d ago, notice 90d; concern: 90d notice."
CAND_0079284,93,0.6421,"Good adjacent fit: Machine Learning Engineer with 4.9 yrs; evidence includes Elasticsearch, Feature Engineering, Fine-tuning LLMs, Machine Learning; Redrob response 0.79, active 78d ago, notice 30d."
CAND_0042100,94,0.6415,"Good adjacent fit: Machine Learning Engineer with 7.3 yrs; evidence includes Elasticsearch, Fine-tuning LLMs, Learning to Rank, LLMs; Redrob response 0.87, active 97d ago, notice 90d; concern: 90d notice."
CAND_0078002,95,0.6413,"Good adjacent fit: Machine Learning Engineer with 6.3 yrs; evidence includes BentoML, Deep Learning, FastAPI, Haystack; Redrob response 0.86, active 68d ago, notice 60d."
CAND_0062247,96,0.6407,"Good adjacent fit: AI Engineer with 7.3 yrs; evidence includes BM25, Deep Learning, Hugging Face Transformers, Information Retrieval; Redrob response 0.78, active 66d ago, notice 30d."
CAND_0013613,97,0.6405,"Good adjacent fit: Machine Learning Engineer with 4.7 yrs; evidence includes Fine-tuning LLMs, GCP, LoRA, Machine Learning; Redrob response 0.73, active 97d ago, notice 60d."
CAND_0054546,98,0.6405,"Good adjacent fit: AI Research Engineer with 4.9 yrs; evidence includes BentoML, BM25, FastAPI, Hugging Face Transformers; Redrob response 0.92, active 35d ago, notice 90d; concern: 90d notice."
CAND_0027801,99,0.6399,"Good adjacent fit: NLP Engineer with 7.4 yrs; evidence includes FAISS, Learning to Rank, Milvus, MLOps; Redrob response 0.65, active 77d ago, notice 120d; concern: 120d notice."
CAND_0032515,100,0.6397,"Good adjacent fit: Machine Learning Engineer with 5.1 yrs; evidence includes BentoML, Deep Learning, Elasticsearch, Fine-tuning LLMs; Redrob response 0.54, active 45d ago, notice 45d."
